,Protein Accession,Length,PE Score,#Confirmed Isoforms,In Reference Proteome
30118,A0A4X1TZS6,203,4,0,0
30119,A0A4X1W3A2,350,3,0,0
30120,A0A4X1UJP3,361,4,0,0
30121,A0A287BMH4,458,1,0,1
30122,A0A4X1UCE6,261,3,0,0
30123,Q1MNL4,38,4,0,0
30124,A0A287AS68,320,3,0,1
30125,Q9TU49,67,2,0,0
30126,A0A4X1VSD4,635,4,0,0
30127,A0A4X1VUY3,207,4,0,0
30128,A0A287AU45,419,1,0,1
30129,A0A4X1T356,311,3,0,0
30130,A0A4X1U635,191,4,0,0
30131,A0A4X1TQ03,145,4,0,0
30132,A0A4X1UIC1,156,4,0,0
30133,A0A4X1VM69,358,3,0,0
30134,C0IW60,29,4,0,0
30135,A0A4X1T9U9,473,4,0,0
30136,A0A5G2RA05,99,4,0,1
30137,Q2Q6D8,217,4,0,0
30138,A0A4X1VPW2,657,4,0,0
30139,Q6EEH2,46,4,0,0
30140,A0A287BEV6,779,4,0,1
30141,A0A4X1SLP6,393,3,0,0
30142,A0A4X1UM16,214,4,0,0
30143,A0A287AC77,297,3,0,1
30144,A0A4X1VJZ5,355,3,0,0
30145,A0A4X1VAF3,80,3,0,0
30146,A0A0H3WE40,753,2,0,0
30147,A0A5G2QW65,100,1,0,1
30148,A0A4X1UIA0,107,3,0,0
30149,A0A287B9L2,277,3,0,1
30150,A0A4X1VA10,345,4,0,0
30151,A0A4X1VGR4,483,4,0,0
30152,B8YQC1,163,2,0,0
30153,A0A287AEL2,514,1,0,1
30154,A0A287BPK5,1705,1,0,1
30155,A0A287A4K2,422,1,0,1
30156,A0A287BG24,574,4,0,1
30157,A8YQT8,51,4,0,0
30158,A0A4X1U9B3,508,4,0,0
30159,A0A4X1VSC8,675,4,0,0
30160,A0A5G2QZL6,64,3,0,1
30161,A0A4X1T9M7,696,4,0,0
30162,Q71V50,59,2,0,0
30163,A0A287AJM3,287,1,0,1
30164,O77948,222,2,0,0
30165,A0A4X1VTI0,115,4,0,0
30166,A0A4X1VTT2,136,4,0,0
30167,A0A4X1VD24,309,4,0,0
30168,A0A481C6A6,308,4,0,0
30169,A0A4X1V6N6,247,3,0,0
30170,A0A4X1U6I7,146,4,0,0
30171,A0A287BF83,214,4,0,1
30172,A0A286ZM51,175,3,0,1
30173,A0A4X1VJU3,223,3,0,0
30174,A0A4X1U7A8,114,4,0,0
30175,A0A4X1T0T6,292,3,0,0
30176,A0A286ZS88,318,3,0,1
30177,A0A287A7T9,335,1,0,1
30178,A0A5G2QGA4,266,1,0,1
30179,A0A4X1SWU8,564,4,0,0
30180,A0A4X1VVR7,603,4,0,0
30181,A0A4X1SZP6,434,4,0,0
30182,A0A287BBL7,442,4,0,1
30183,A0A4X1T1W6,478,4,0,0
30184,A0A287ARQ4,306,3,0,0
30185,A0A4X1V8Z5,311,3,0,0
30186,Q5ZPJ6,47,3,0,0
30187,A0A286ZIV4,312,3,0,1
30188,A0A4X1SRT9,116,4,0,0
30189,A0A4X1V4H1,166,4,0,0
30190,A5PH55,327,2,0,0
30191,A0A5G2QIZ5,313,3,0,1
30192,Q95N20,171,2,0,0
30193,A0A4X1TWM8,705,3,0,0
30194,A0A4X1TDT0,140,4,0,0
30195,A0A5G2QMM8,660,1,0,1
30196,A0A0M4UT78,397,2,0,0
30197,A0A4X1UV62,122,4,0,0
30198,A0A4X1UNZ6,74,3,0,0
30199,A0A287BQ46,229,3,0,1
30200,Q2TUQ4,41,4,0,0
30201,A0A287BJU0,131,1,0,1
30202,A0A4X1WBR2,119,3,0,0
30203,A0A5G2REN0,79,4,0,1
30204,A0A5G2R099,106,4,0,1
30205,A0A4X1UZZ3,100,4,0,0
30206,A0A5G2QEV8,668,1,0,1
30207,A0A287B5M9,249,1,0,1
30208,A0A4X1TZ18,660,4,0,0
30209,A0A4X1TE30,236,4,0,0
30210,A0A4X1V6Y4,473,4,0,0
30211,A0A287ATY8,134,1,0,1
30212,A0A5G2R413,372,3,0,1
30213,J9S2W1,1730,2,0,0
30214,A0A4X1SMN4,79,4,0,0
30215,A0A3G3ND03,181,3,0,0
30216,A0A4X1V5U4,351,4,0,0
30217,A0A480S312,366,3,0,0
30218,A0A287A7K9,131,4,0,1
30219,A0A5G2RM95,373,4,0,1
30220,A0A4X1W7F6,94,4,0,0
30221,A0A286ZR25,276,1,0,1
30222,A0A4X1SDL3,394,4,0,0
30223,Q29274,135,2,0,0
30224,A0A4X1SMA8,751,4,0,0
30225,A0A287AT59,554,1,0,1
30226,A0A4X1THP0,584,4,0,0
30227,A0A4X1TCJ3,307,3,0,0
30228,A0A5G2R1K1,217,1,0,1
30229,A0A5G2QQ41,63,4,0,1
30230,A0A5G2RAP7,55,4,0,1
30231,A0A4X1UF34,304,4,0,0
30232,G8ACZ5,190,4,0,0
30233,A0A4X1TN47,482,3,0,0
30234,A0A286ZP75,1251,4,0,1
30235,A0A4X1VP58,312,3,0,0
30236,A0A287BGH5,179,4,0,1
30237,A0A4X1VHE7,452,3,0,0
30238,A0A4X1VIQ5,296,4,0,0
30239,A0A287A3F6,160,3,0,1
30240,A0A4X1TY51,151,4,0,0
30241,A0A4X1V1H0,283,3,0,0
30242,A0A5G2R171,779,1,0,1
30243,A0A4X1U3N4,65,3,0,0
30244,A0A4X1TD22,196,3,0,0
30245,A0A5G2QRE2,357,4,0,1
30246,A0A4X1TJF5,4268,3,0,0
30247,A0A4X1W5I5,680,3,0,0
30248,A0A4X1SVA3,335,4,0,0
30249,A0A481D1E6,450,3,0,0
30250,A0A5G2Q6W7,529,1,0,1
30251,A0A4X1TD90,53,4,0,0
30252,A0A286ZX31,465,1,0,1
30253,A0A4X1UN50,170,4,0,0
30254,A0A4X1VSR3,437,4,0,0
30255,A0A287AZE2,552,3,0,1
30256,A0A287BSL7,105,1,0,1
30257,A0A4X1V7H0,735,4,0,0
30258,A0A4X1TKX5,143,3,0,0
30259,A0A4X1VU80,207,4,0,0
30260,A0A4X1TTE9,152,3,0,0
30261,A0A287ACF2,297,1,0,1
30262,A0A4X1U9M6,440,3,0,0
30263,A0A4X1T9S7,4445,3,0,0
30264,A0A286ZKD0,1834,4,0,1
30265,A0A4X1VUM5,304,3,0,0
30266,A0A4X1SME3,518,4,0,0
30267,L7UVT2,181,3,0,0
30268,A0A4X1UN49,103,4,0,0
30269,A0A4X1VZ20,738,4,0,0
30270,A0A4X1TGD4,335,3,0,0
30271,A0A4X1SH48,468,3,0,0
30272,A0A4X1U5L3,378,3,0,0
30273,A0A4X1VVM0,256,4,0,0
30274,A0A4X1VAA4,695,4,0,0
30275,A0A4X1U242,710,4,0,0
30276,A0A4X1U707,675,4,0,0
30277,A2IBW1,192,2,0,0
30278,A0A4X1VPM2,154,3,0,0
30279,A0A4X1TTX4,626,3,0,0
30280,A0A286ZTB7,1048,4,0,1
30281,A0A287AUX9,321,1,0,1
30282,A0A5G2QV08,173,4,0,1
30283,A0A5G2QBK7,318,4,0,1
30284,A0A4X1TI44,469,3,0,0
30285,A0A4X1VY68,301,3,0,0
30286,A0A5G2R2K2,290,1,0,1
30287,A0A287AN19,619,4,0,1
30288,A0A4X1VM35,388,3,0,0
30289,A0A5G2R756,90,4,0,1
30290,A0A4X1U9B1,644,4,0,0
30291,A0A4X1UBQ0,249,4,0,0
30292,A0A287AAC5,214,4,0,1
30293,A0A287ADR1,218,1,0,1
30294,A0A4X1W014,279,4,0,0
30295,A0A4X1UNX6,205,4,0,0
30296,A0A286ZTF4,107,3,0,1
30297,A0A4X1T6X2,262,4,0,0
30298,A0A5G2R7J6,184,4,0,1
30299,A0A4X1W920,214,4,0,0
30300,A0A5G2QZX3,380,1,0,1
30301,A0A4X1U3U6,110,4,0,0
30302,Q95440,70,4,0,0
30303,A0A4X1UI22,263,4,0,0
30304,A0A4X1SIR5,321,4,0,0
30305,A0A5G2QPF6,279,4,0,1
30306,A0A287BG69,596,4,0,1
30307,A0A286ZU26,132,4,0,1
30308,A0A4X1SKY7,1066,3,0,0
30309,A0A4X1U3I3,344,4,0,0
30310,A0A4X1URY5,340,4,0,0
30311,M5AJM8,148,2,0,0
30312,A0A4X1UZJ1,901,4,0,0
30313,A0A5G2QI66,274,4,0,1
30314,A0A5G2QIG7,565,1,0,1
30315,A0MNM5,94,4,0,0
30316,A0A5G2R047,77,4,0,1
30317,A0A4X1SJ87,312,3,0,0
30318,A6P386,116,4,0,0
30319,A0A4X1TY48,254,3,0,0
30320,A0A287AI66,467,1,0,1
30321,A0A4X1SX13,980,3,0,0
30322,A0A4X1TRW1,340,3,0,0
30323,Q0W959,203,2,0,0
30324,A0A650FP45,1386,2,0,0
30325,A0A4X1SNH9,245,3,0,0
30326,A0A286ZT00,180,1,0,1
30327,A0A4X1W5X2,173,4,0,0
30328,Q6EEH6,121,4,0,0
30329,A0A5G2R902,219,1,0,1
30330,A0A4X1UT79,295,4,0,0
30331,A0A287B0X8,415,4,0,1
30332,A0A4X1TSA4,240,3,0,0
30333,B0ZSN8,216,2,0,0
30334,A0A480T633,179,4,0,0
30335,A0A287AHA2,98,1,0,1
30336,A0A345BT90,287,2,0,0
30337,A0A286ZTA6,498,1,0,1
30338,A0A287BNN4,1152,1,0,1
30339,A0A4X1SMK1,309,4,0,0
30340,A0A5G2R1I8,3247,4,0,1
30341,A0A286ZTB0,486,1,0,1
30342,A0A287AK16,395,3,0,1
30343,A0A4X1TPB2,417,4,0,0
30344,A0A287AIR6,405,1,0,1
30345,A0A4X1V247,310,3,0,0
30346,A0A480WTF0,1141,3,0,0
30347,A0A287A5U7,326,1,0,1
30348,A0A4X1USC0,628,4,0,0
30349,A0A287B6U5,187,1,0,1
30350,A0A4X1TWI0,157,4,0,0
30351,A0A4X1UU59,77,3,0,0
30352,A0A5G2QUM1,118,4,0,1
30353,A0A5G2R7S9,192,3,0,1
30354,A0A4X1TBC8,310,3,0,0
30355,A0A286ZJC0,149,4,0,1
30356,A0A287AL80,314,3,0,1
30357,Q29166,60,2,0,0
30358,A0A287B312,1077,4,0,1
30359,A0A286ZX26,408,1,0,1
30360,A0A287BPA1,198,3,0,1
30361,A0A5G2RBQ2,605,3,0,1
30362,Q68VF5,295,2,0,0
30363,A0A287BK74,607,1,0,1
30364,A0A5G2QJL2,540,3,0,1
30365,A0A172Q3Y8,255,2,0,0
30366,A0A4X1TD86,261,4,0,0
30367,A0A287A781,146,4,0,1
30368,D5K8B0,154,2,0,0
30369,A0A287B857,83,1,0,1
30370,A0A5G2REA6,168,1,0,1
30371,A0A287AKD5,448,3,0,1
30372,A0A343EQW5,175,3,0,0
30373,C8CKB7,153,2,0,0
30374,A0A4X1W028,523,4,0,0
30375,A0A5G2R0S2,160,1,0,1
30376,A0A4X1TXE2,895,4,0,0
30377,A0A5S6GID0,389,3,0,1
30378,A0A4X1UZM7,440,4,0,0
30379,A0A4X1UNI9,69,4,0,0
30380,A0A287AXF7,143,1,0,1
30381,A0A287ARU1,296,4,0,1
30382,A0A4X1TJK6,142,4,0,0
30383,P79302,29,4,0,0
30384,A0A287BDU9,312,4,0,1
30385,A0A4X1V1E2,162,3,0,0
30386,A0A5G2QTU8,342,3,0,1
30387,A0A4X1T0E5,401,4,0,0
30388,A0A287AWY1,280,4,0,1
30389,A0A4X1SSZ4,359,3,0,0
30390,A0A480T4D2,467,4,0,0
30391,A0A5G2RNL6,585,4,0,1
30392,A0A4X1WDB4,146,4,0,0
30393,Q19QT5,34,4,0,0
30394,A0A4X1VE89,174,4,0,0
30395,A0A4X1UEK1,213,4,0,0
30396,A0A4X1UCQ4,99,3,0,0
30397,A0A4X1V4X0,251,3,0,0
30398,A0A4X1SE33,160,3,0,0
30399,A0A4X1TY02,177,4,0,0
30400,A0A4X1UVA5,662,3,0,0
30401,G9JKQ0,222,4,0,0
30402,A0A286ZU35,804,4,0,1
30403,A0A4X1VXM5,234,4,0,0
30404,A0A4X1UG99,160,4,0,0
30405,A0A4X1U068,179,3,0,0
30406,A0A5G2QT83,297,1,0,1
30407,A0A4X1U0Z9,363,3,0,0
30408,A0A4X1V951,192,4,0,0
30409,A0A287BAS5,985,1,0,1
30410,A0A4X1WAM4,541,4,0,0
30411,A0A4X1VHS5,1280,3,0,0
30412,Q0GFC9,176,2,0,0
30413,A0A4X1TSH9,1230,3,0,0
30414,A0A5G2R908,306,1,0,1
30415,A0A287AFD8,240,3,0,0
30416,A0A5G2QLV6,404,1,0,1
30417,A0A4X1TQK3,231,3,0,0
30418,A0A4X1UUE8,103,3,0,0
30419,A0A4X1SU79,344,3,0,0
30420,Q9GJX1,48,2,0,0
30421,O46418,38,2,0,0
30422,A0A4X1T2P6,138,4,0,0
30423,A0A4X1VLF5,221,4,0,0
30424,A0A4X1W1D2,283,3,0,0
30425,A0A4X1UVZ3,350,4,0,0
30426,A9YG18,232,3,0,0
30427,A0A287B2W6,425,4,0,1
30428,A0A4X1SNC4,661,4,0,0
30429,A0A4X1UMA4,821,3,0,0
30430,A0A5G2Q6X1,215,3,0,1
30431,Q6T366,206,2,0,0
30432,A0A4X1U2U8,120,4,0,0
30433,A0A5G2QC67,441,3,0,1
30434,Q2ERU0,204,2,0,0
30435,A0A5G2QT39,139,4,0,1
30436,A0A4X1U0Y2,730,4,0,0
30437,A0A4X1TU59,111,3,0,0
30438,A0A287A2S4,243,4,0,1
30439,A0A5G2RC21,153,1,0,1
30440,A0A4X1W307,265,4,0,0
30441,A0A4X1SZ97,128,3,0,0
30442,A0A4X1TEJ3,202,4,0,0
30443,A0A4X1V6T2,229,4,0,0
30444,A0A4X1V6H8,345,4,0,0
30445,A0A287A954,241,1,0,1
30446,A0A5G2QJ52,266,1,0,1
30447,A0A287B0I7,309,1,0,1
30448,Q8MKH4,157,2,0,0
30449,A0A4X1STW2,473,4,0,0
30450,A0A4X1SE89,447,3,0,0
30451,A0A4X1TV53,712,4,0,0
30452,A9YTY0,487,2,0,0
30453,A0A0G3Z6C6,50,4,0,0
30454,A0A4X1UW27,189,3,0,0
30455,A0A4X1SW06,212,4,0,0
30456,Q29162,68,2,0,0
30457,A0A287ASP8,158,1,0,1
30458,A0A4X1UIF6,451,4,0,0
30459,A0A4X1SMH2,315,4,0,0
30460,A0A5G2R5F6,86,4,0,1
30461,Q1W673,63,3,0,0
30462,A0A4X1U1Y7,142,3,0,0
30463,A0A4X1V955,647,3,0,0
30464,A0A4X1W892,184,4,0,0
30465,A0A4X1SU20,144,4,0,0
30466,A0A4X1SK63,97,4,0,0
30467,A7XP04,266,2,0,0
30468,A0A5G2R8Q3,199,3,0,1
30469,A0A5G2QE94,434,1,0,1
30470,A0A4X1VJ55,82,4,0,0
30471,A0A4X1SSJ5,351,4,0,0
30472,A0A287AI91,556,4,0,1
30473,A0A4X1SJY6,131,3,0,0
30474,A0A4X1T178,252,4,0,0
30475,Q5I388,74,3,0,0
30476,A0A4X1VUF6,274,4,0,0
30477,A0A5G2QZH5,243,1,0,1
30478,A0A4X1U4Y8,532,4,0,0
30479,A0A287B0U0,311,3,0,1
30480,A0A4X1W1R4,265,4,0,0
30481,A0A286ZVQ5,422,1,0,1
30482,A0A286ZN23,365,4,0,1
30483,Q5DLX5,91,4,0,0
30484,A0A5G2RN57,108,4,0,1
30485,A0A4X1W0Y0,815,4,0,0
30486,A0A4X1T6W3,257,3,0,0
30487,A0A287AMD4,305,3,0,1
30488,A0A4X1SPC6,304,4,0,0
30489,A0A5G2QE73,286,3,0,1
30490,A0A287BHJ1,407,1,0,1
30491,A0A5G2RD55,411,4,0,1
30492,A0A5G2QHW0,180,1,0,1
30493,A0A4X1VQY8,612,4,0,0
30494,A0A5G2QJR5,1274,1,0,1
30495,A0A287ADW9,661,4,0,1
30496,A0A4X1TF61,554,4,0,0
30497,A0A287AYU7,368,3,0,1
30498,A0A4X1TV28,119,4,0,0
30499,A0A286ZTC3,1076,4,0,1
30500,A0A4X1STC3,289,3,0,0
30501,D2KD98,89,4,0,0
30502,A0A4X1TT20,145,3,0,0
30503,A9XXE3,39,4,0,0
30504,A0A5G2QVX6,630,3,0,1
30505,A0A4X1VGS7,291,4,0,0
30506,A0A287B8V6,267,4,0,1
30507,A0A2S1PUJ6,193,2,0,0
30508,A0A287AQL1,376,4,0,1
30509,A0A5G2QJR3,147,4,0,1
30510,A0A5G2QL39,311,1,0,1
30511,A0A287BM11,404,3,0,1
30512,A0A4X1VT68,212,3,0,0
30513,A0A287AGM8,437,1,0,1
30514,A0A4X1TJ07,501,3,0,0
30515,A0A480WYQ6,197,4,0,0
30516,A0A4X1TDB0,190,4,0,0
30517,A0A4X1UGI8,352,3,0,0
30518,A0A5G2QQU9,188,1,0,1
30519,A0A4X1TPQ1,377,3,0,0
30520,A0A4X1VS27,359,3,0,0
30521,A0A5G2QNQ9,163,4,0,1
30522,A0A287B7H3,512,4,0,1
30523,A0A4X1VX90,359,3,0,0
30524,A0A287A3X3,297,4,0,1
30525,A0A287BSA8,219,1,0,1
30526,A0A4X1W263,376,3,0,0
30527,A0A5G2QXD3,418,1,0,1
30528,A0A4X1TJM5,1219,3,0,0
30529,A0A4X1TJE1,217,4,0,0
30530,A0A287A734,1407,1,0,1
30531,A0A5G2QLF7,255,4,0,1
30532,Q95L42,213,2,0,0
30533,A0A287ASI6,318,4,0,1
30534,A0A5G2QYU4,419,4,0,1
30535,A0A5G2RCS3,131,1,0,1
30536,A0A4X1V8I6,1209,3,0,0
30537,A0A4X1UDD4,429,3,0,0
30538,A0A4X1TCL5,629,4,0,0
30539,Q9GL48,11,2,0,0
30540,A0A4X1VA31,1610,4,0,0
30541,A0A4X1U3I4,103,3,0,0
30542,A0A5G2RFV2,437,4,0,1
30543,A0A4X1UWN3,693,4,0,0
30544,A0A4X1TS61,641,4,0,0
30545,A0A4X1UK71,89,4,0,0
30546,F1SD26,88,4,0,1
30547,A0A4X1SRJ8,403,3,0,0
30548,A0A2H4W7Z0,181,3,0,0
30549,A0A4X1VF42,335,3,0,0
30550,A0A4X1W5A2,157,3,0,0
30551,A0A5G2QYM0,242,4,0,1
30552,A0A287AA18,772,4,0,1
30553,A0A287BG37,1038,4,0,1
30554,A0A4X1TUR3,644,3,0,0
30555,A0A287AXU0,674,1,0,1
30556,A0A4X1TFL5,477,4,0,0
30557,A0A4X1TU26,816,4,0,0
30558,A0A4X1TKD4,137,4,0,0
30559,A0A286ZKJ8,1097,4,0,1
30560,A0A5G2QZN2,188,4,0,1
30561,A0A4X1T2B0,552,3,0,0
30562,A0A287BKH4,291,3,0,1
30563,A0A5G2QHC8,159,1,0,1
30564,A0A4X1V7W6,180,3,0,0
30565,Q5DLZ8,91,4,0,0
30566,A0A4X1SF66,312,4,0,0
30567,A0A5G2Q797,214,1,0,1
30568,A0A5G2QYW1,438,4,0,1
30569,A0A481C779,1295,4,0,0
30570,A0A5G2R5D8,189,4,0,1
30571,A0A5G2R6T7,854,1,0,1
30572,B3SNS4,66,4,0,0
30573,A0A4X1TP46,274,3,0,0
30574,A0A4X1UIA5,114,4,0,0
30575,A0A287AYZ7,340,1,0,1
30576,A0A4X1TSQ7,213,3,0,0
30577,A0A4X1UGP3,226,4,0,0
30578,A0A4X1VCP6,147,3,0,0
30579,A0A4X1VI43,458,3,0,0
30580,A0A5S8LC35,103,1,0,1
30581,L0CKY5,115,3,0,0
30582,A0A5G2R4S2,163,1,0,1
30583,A0A4X1TSW2,290,4,0,0
30584,A0A4X1T5Q1,479,3,0,0
30585,A8I4U9,59,2,0,0
30586,A0A5G2R583,338,1,0,1
30587,A0A288CG05,193,3,0,1
30588,A0A4X1STG5,235,4,0,0
30589,A0A4X1UDH4,134,3,0,0
30590,A0A287A452,187,1,0,1
30591,A0A4X1T1U0,297,3,0,0
30592,A0A5G2QL76,77,4,0,1
30593,B6DTY2,89,4,0,0
30594,A0A287A503,330,4,0,1
30595,A0A4X1V7T0,699,3,0,0
30596,A0A287ASY2,800,3,0,1
30597,A0A5G2QBN3,309,3,0,1
30598,A0A4X1VAG2,879,4,0,0
30599,F1KBQ1,237,2,0,0
30600,A0A4X1UAT4,313,3,0,0
30601,A0A287B2T6,457,1,0,1
30602,A0A5G2QS47,179,4,0,1
30603,Q3LZV8,32,4,0,0
30604,A0A4X1VCJ9,357,4,0,0
30605,A0A4X1SH17,222,3,0,0
30606,A0A4X1VJP8,578,3,0,0
30607,A0A4X1TMU9,311,3,0,0
30608,A0A287BAB1,889,1,0,1
30609,A0A286ZN46,1808,3,0,1
30610,Q70EK4,258,2,0,0
30611,A0A3G5MTV2,273,2,0,0
30612,A0A4X1TKD8,692,3,0,0
30613,A0A4X1V4S5,690,3,0,0
30614,A0A287B176,302,4,0,1
30615,A0A5G2R7U2,82,4,0,1
30616,A0A4X1VEX3,339,3,0,0
30617,A0A287AXB8,106,4,0,1
30618,A0A4X1W123,730,4,0,0
30619,C6EQ34,242,2,0,0
30620,A0A287ACP2,736,4,0,0
30621,A0A4X1VPM6,890,3,0,0
30622,A0A4X1SHK6,224,3,0,0
30623,A0A4X1UG29,313,3,0,0
30624,A0A5G2QA55,277,4,0,1
30625,A0A6R3LAT1,622,3,0,0
30626,A0A286ZYP5,368,1,0,1
30627,A0A286ZUU1,889,4,0,1
30628,A0A287BKF1,546,1,0,1
30629,A0A5G2QHU4,218,4,0,1
30630,A0A4X1VJL0,2609,3,0,0
30631,A0A4X1TA38,65,4,0,0
30632,A0A5G2QXB6,293,3,0,1
30633,A0A4X1THG1,308,4,0,0
30634,A0A287A4G5,235,4,0,1
30635,A0A287ALR1,482,3,0,1
30636,A0A5G2RFZ3,364,4,0,1
30637,A0A5G2RBY4,98,4,0,1
30638,A0A480SKI2,772,3,0,0
30639,A0A4X1VI42,734,4,0,0
30640,A0A4X1U7U2,644,3,0,0
30641,A0A4X1UYX8,230,4,0,0
30642,A0A4X1VMA8,195,4,0,0
30643,A0A076KRJ4,189,2,0,0
30644,A0A5G2RBM6,461,1,0,1
30645,Q4ZHR7,619,2,0,0
30646,A0A4X1VXL1,872,3,0,0
30647,A0A4X1USR1,710,4,0,0
30648,A0A5S6G2V3,173,3,0,1
30649,A0A4X1VP63,52,4,0,0
30650,A0A287AFJ4,329,4,0,1
30651,A0A4X1U1N7,297,4,0,0
30652,A0A287ABF4,303,4,0,1
30653,A0A5G2QWF7,106,4,0,1
30654,A0A4X1TYC6,1390,3,0,0
30655,A0A4X1U2C0,98,3,0,0
30656,A0A4X1UWD3,537,4,0,0
30657,A0A4X1W6E0,315,4,0,0
30658,A0A287AG36,3079,4,0,1
30659,A0A287AML8,2207,4,0,1
30660,A0A5G2R0G2,132,4,0,1
30661,A0A4X1VYZ3,401,3,0,0
30662,A0A4X1SSL1,442,4,0,0
30663,A0A5G2QCP1,146,4,0,1
30664,A0A4X1SXF2,330,3,0,0
30665,A0A4X1UJY8,454,3,0,0
30666,A0A4X1VYU6,1105,3,0,0
30667,A0A4X1TTZ7,513,3,0,0
30668,A0A4X1U3D5,186,4,0,0
30669,A0A5G2RDD9,131,1,0,1
30670,A0A287AUK5,782,4,0,0
30671,A0A4X1UTF2,174,3,0,0
30672,A0A5G2RBK3,97,4,0,1
30673,A0A287B684,214,4,0,1
30674,A0A5G2RKY6,532,4,0,1
30675,A0A4X1T0M0,1107,3,0,0
30676,A0A4X1VU74,708,3,0,0
30677,A0A5G2RAE3,310,1,0,1
30678,A0A4X1VD32,431,4,0,0
30679,A0A4X1U8Q1,270,3,0,0
30680,A0A4X1TJ69,475,4,0,0
30681,Q68VE9,295,2,0,0
30682,A0A4X1VLV7,443,4,0,0
30683,A0A4X1UV94,258,4,0,0
30684,F8S334,1145,3,0,0
30685,A7IYP3,242,2,0,0
30686,A0A5G2QQD4,150,3,0,1
30687,A0A287BCL1,347,3,0,1
30688,A0A287BCM0,1666,1,0,1
30689,A0A5G2RMD9,400,4,0,1
30690,A0A4X1VIC1,245,3,0,0
30691,A0A4X1TY99,604,4,0,0
30692,A0A4X1UGP0,298,4,0,0
30693,A0A4X1V047,656,3,0,0
30694,A0A287AA51,419,3,0,1
30695,A0A287A8T0,249,1,0,1
30696,A0A287AYM6,1535,4,0,1
30697,A0A5G2R9S0,135,3,0,1
30698,A0A5G2R9U5,125,3,0,1
30699,A0A5G2R9T0,611,4,0,1
30700,A0A286ZY27,63,3,0,1
30701,A0A4X1TC03,1157,3,0,0
30702,A0A287AYJ3,765,4,0,1
30703,A0A4X1U864,370,3,0,0
30704,A0A4X1VTY5,436,3,0,0
30705,A0A4X1SQL4,452,3,0,0
30706,A0A5S6HA01,388,1,0,1
30707,A0A287BM70,202,4,0,1
30708,Q5DKW6,318,2,0,0
30709,A0A287B649,311,4,0,1
30710,A0A287BSW9,329,3,0,1
30711,A0A287ACJ1,477,4,0,1
30712,A0A5G2RN94,561,3,0,1
30713,A0A4X1V6E3,268,4,0,0
30714,A0A4X1UJ77,507,4,0,0
30715,A0A286ZRI8,534,1,0,1
30716,A0A286ZM32,1588,4,0,1
30717,A0A5G2R0P2,209,4,0,1
30718,A0A4X1VRR2,310,4,0,0
30719,A0A4X1VBG6,143,4,0,0
30720,A0A4X1TR68,459,4,0,0
30721,A0A4X1VCH2,447,3,0,0
30722,A0A4X1VD25,846,4,0,0
30723,A0A4X1W425,404,3,0,0
30724,A0A4X1W6V7,487,4,0,0
30725,A0A4X1TI34,171,4,0,0
30726,A0A4X1VYH7,409,4,0,0
30727,A0A4X1U9H1,216,4,0,0
30728,A0A4X1U9D8,967,4,0,0
30729,F6PZM7,325,3,0,1
30730,A0A287BDF0,1016,4,0,1
30731,A0A287A9X7,672,3,0,1
30732,A0A5G2REN2,387,4,0,1
30733,A0A4X1UX94,190,4,0,0
30734,A0A4X1VDF6,212,4,0,0
30735,A0A287A103,255,4,0,1
30736,A0A4X1V5I7,201,3,0,0
30737,A0A5G2QUW9,735,4,0,1
30738,A0A287ALZ9,331,3,0,1
30739,A0A4X1V6M7,704,3,0,0
30740,A0A5G2QND9,260,1,0,1
30741,A0A4X1UAM4,327,3,0,0
30742,Q29083,58,4,0,0
30743,A0A4X1T0W1,276,4,0,0
30744,A0A287BLF6,1470,1,0,1
30745,A0A4X1SXW3,435,4,0,0
30746,A0A4X1WB43,429,3,0,0
30747,A0A4X1US13,203,4,0,0
30748,A0A480T5U1,335,3,0,0
30749,U5XYR8,97,2,0,0
30750,A0A4X1SXA0,359,4,0,0
30751,A0A4X1V401,332,3,0,0
30752,A0A4X1SRA2,251,4,0,0
30753,A0A4X1VEZ7,417,3,0,0
30754,O97750,42,2,0,0
30755,A0A286ZT76,373,3,0,1
30756,A0A4X1VYF4,205,4,0,0
30757,A0A4X1UG50,197,4,0,0
30758,A0A4X1V2X4,212,3,0,0
30759,A0A5G2QET8,461,4,0,1
30760,A0A4X1V166,715,4,0,0
30761,A0A4X1TE27,354,4,0,0
30762,A0A5G2QWX2,193,4,0,1
30763,A0A4X1UFV0,200,4,0,0
30764,A0A5G2QV11,252,1,0,1
30765,A0A4X1T9F5,69,4,0,0
30766,A0A5G2QRC7,267,4,0,1
30767,A0A4X1V1K8,286,4,0,0
30768,A0A286ZLE7,518,4,0,1
30769,A0A5G2QXF3,221,4,0,1
30770,A0A5G2Q8R1,160,4,0,1
30771,A0A287B341,196,1,0,1
30772,A0A4X1VQF3,69,4,0,0
30773,A0A5G2QLK6,180,1,0,1
30774,A0A4X1VEE4,661,3,0,0
30775,A0A4X1VV15,173,4,0,0
30776,A0A5G2REN7,458,3,0,1
30777,A0A286ZNW3,208,4,0,1
30778,A0A287AM45,282,4,0,1
30779,A0A4X1SWR2,311,3,0,0
30780,A0A287AK90,118,3,0,1
30781,A0A287BFU9,432,3,0,0
30782,A0A5G2QQB9,65,4,0,1
30783,A0A4X1V991,162,4,0,0
30784,A0A4X1SWK1,143,4,0,0
