,sptr,accession,organism,GN,length
7334,sp,P18468,Mus musculus ,H2-Eb1 ,264
7335,sp,E9Q5L8,Mus musculus ,Glyatl3 ,290
7336,sp,Q61627,Mus musculus ,Grid1 ,1009
7337,sp,P19157,Mus musculus ,Gstp1 ,210
7338,sp,Q3V1H3,Mus musculus ,Hephl1 ,1159
7339,sp,Q5ND04,Mus musculus ,Hsf5 ,624
7340,sp,Q9ESB3,Mus musculus ,Hrg ,525
7341,sp,Q8K0U4,Mus musculus ,Hspa12a ,675
7342,sp,P16627,Mus musculus ,Hspa1l ,641
7343,sp,Q3V1M1,Mus musculus ,Igsf10 ,2594
7344,sp,P13597,Mus musculus ,Icam1 ,537
7345,sp,Q8BMB3,Mus musculus ,Eif4e2 ,245
7346,sp,P07349,Mus musculus ,Ifna5 ,189
7347,sp,Q80XF5,Mus musculus ,Il22ra2 ,230
7348,sp,P26954,Mus musculus ,Csf2rb2 ,878
7349,sp,Q60680,Mus musculus ,Chuk ,745
7350,sp,Q60778,Mus musculus ,Nfkbib ,359
7351,sp,P30554,Mus musculus ,Mas1 ,324
7352,sp,Q8K1T4,Mus musculus ,Ly6g5b ,194
7353,sp,Q8K1T5,Mus musculus ,Ly6g5c ,149
7354,sp,P51949,Mus musculus ,Mnat1 ,309
7355,sp,P01580,Mus musculus ,Ifng ,155
7356,sp,O08746,Mus musculus ,Matn2 ,956
7357,sp,Q8K1T6,Mus musculus ,Ly6g6e ,166
7358,sp,Q04859,Mus musculus ,Mak ,622
7359,sp,O88351,Mus musculus ,Ikbkb ,757
7360,sp,Q64253,Mus musculus ,Ly6e ,136
7361,sp,P35461,Mus musculus ,Ly6g ,134
7362,sp,Q3UGS4,Mus musculus ,Mcrip1 ,97
7363,sp,P60755,Mus musculus ,Mdga2 ,949
7364,sp,Q9WUC3,Mus musculus ,Ly6h ,139
7365,sp,Q9WU67,Mus musculus ,Ly6i ,134
7366,sp,Q9CQB2,Mus musculus ,Mcrip2 ,160
7367,sp,Q8VEB3,Mus musculus ,MACIR ,207
7368,sp,Q5F204,Mus musculus ,Mdh1b ,500
7369,sp,Q9CWP4,Mus musculus ,Ly6k ,154
7370,sp,H3BJG9,Mus musculus ,Ly6l ,140
7371,sp,Q99L90,Mus musculus ,Mcrs1 ,462
7372,sp,Q7TQE6,Mus musculus ,Maco1 ,664
7373,sp,Q60767,Mus musculus ,Ly75 ,1723
7374,sp,Q3UZP0,Mus musculus ,Marveld2 ,555
7375,sp,Q9D956,Mus musculus ,Marveld3 ,376
7376,sp,O88188,Mus musculus ,Ly86 ,162
7377,sp,P14152,Mus musculus ,Mdh1 ,334
7378,sp,Q9JHF9,Mus musculus ,Ly96 ,160
7379,sp,Q01965,Mus musculus ,Ly9 ,654
7380,sp,Q8VII8,Mus musculus ,Nr3c2 ,978
7381,sp,P50538,Mus musculus ,Mxd1 ,227
7382,sp,P97311,Mus musculus ,Mcm6 ,821
7383,sp,P70699,Mus musculus ,Gaa ,953
7384,sp,Q61881,Mus musculus ,Mcm7 ,719
7385,sp,Q80US8,Mus musculus ,Mxd3 ,206
7386,sp,P41242,Mus musculus ,Matk ,505
7387,sp,Q8K0P3,Mus musculus ,Meak7 ,455
7388,sp,Q00690,Mus musculus ,Sele ,612
7389,sp,Q8R3C0,Mus musculus ,Mcmbp ,642
7390,sp,P15265,Mus musculus ,Smcp ,143
7391,sp,Q08288,Mus musculus ,Lyar ,388
7392,sp,E9Q956,Mus musculus ,Mcmdc2 ,681
7393,sp,Q9DCC7,Mus musculus ,Isoc2b ,210
7394,sp,P97431,Mus musculus ,Irf6 ,467
7395,sp,Q5DU25,Mus musculus ,Iqsec2 ,1478
7396,sp,Q91X21,Mus musculus ,Kiaa2013 ,634
7397,sp,Q7TSJ2,Mus musculus ,Map6 ,906
7398,sp,Q8BP00,Mus musculus ,Iqcb1 ,598
7399,sp,Q5RKR3,Mus musculus ,Islr2 ,745
7400,sp,Q5SYL3,Mus musculus ,Kiaa0100 ,2234
7401,sp,P36369,Mus musculus ,Klk1b26 ,261
7402,sp,Q80V26,Mus musculus ,Bpnt2 ,356
7403,sp,Q8C5L6,Mus musculus ,Inpp5k ,468
7404,sp,Q9EPW0,Mus musculus ,Inpp4a ,939
7405,sp,Q8CIT0,Mus musculus ,Crh ,187
7406,sp,P14847,Mus musculus ,Crp ,225
7407,sp,Q8K1Z0,Mus musculus ,Coq9 ,313
7408,sp,Q9JM58,Mus musculus ,Crlf1 ,425
7409,sp,O35728,Mus musculus ,Cyp4a14 ,507
7410,sp,Q8BWG9,Mus musculus ,Orai1 ,304
7411,sp,O35206,Mus musculus ,Col15a1 ,1367
7412,sp,Q9DBX6,Mus musculus ,Cyp2s1 ,501
7413,sp,Q60632,Mus musculus ,Nr2f1 ,422
7414,sp,E9Q355,Mus musculus ,Catsperg1 ,1151
7415,sp,Q9D4H8,Mus musculus ,Cul2 ,745
7416,sp,Q5RJI2,Mus musculus ,Slc44a5 ,710
7417,sp,Q3TYS2,Mus musculus ,Cybc1 ,187
7418,sp,Q6ZPL9,Mus musculus ,Ddx55 ,600
7419,sp,Q9Z1T5,Mus musculus ,Deaf1 ,566
7420,sp,A2RT67,Mus musculus ,Dennd3 ,1274
7421,sp,Q80T85,Mus musculus ,Dcaf5 ,946
7422,sp,A2ATU0,Mus musculus ,Dhtkd1 ,921
7423,sp,Q8VBZ0,Mus musculus ,Dhrsx ,335
7424,sp,O08749,Mus musculus ,Dld ,509
7425,sp,O70133,Mus musculus ,Dhx9 ,1380
7426,sp,Q9D113,Mus musculus ,Dnlz ,177
7427,sp,P50708,Mus musculus ,Defa10 ,93
7428,sp,P61460,Mus musculus ,Depdc5 ,1591
7429,sp,Q811T9,Mus musculus ,Disc1 ,852
7430,sp,Q61062,Mus musculus ,Dvl3 ,716
7431,sp,P39054,Mus musculus ,Dnm2 ,870
7432,sp,P48302,Mus musculus ,Ednrb ,442
7433,sp,Q9Z188,Mus musculus ,Dyrk1b ,629
7434,sp,P13864,Mus musculus ,Dnmt1 ,1620
7435,sp,Q60779,Mus musculus ,Gas8 ,478
7436,sp,Q8C147,Mus musculus ,Dock8 ,2100
7437,sp,Q6V3W6,Mus musculus ,Drc7 ,876
7438,sp,Q8C0D5,Mus musculus ,Efl1 ,1127
7439,sp,Q3U0P5,Mus musculus ,Entpd6 ,455
7440,sp,Q8BHI7,Mus musculus ,Elovl5 ,299
7441,sp,Q78T81,Mus musculus ,Fam102a ,392
7442,sp,P70429,Mus musculus ,Evl ,414
7443,sp,Q8BVM7,Mus musculus ,Flacc1 ,383
7444,sp,A1KXC4,Mus musculus ,Fcmr ,422
7445,sp,Q924X1,Mus musculus ,Epgn ,152
7446,sp,O35465,Mus musculus ,Fkbp8 ,402
7447,sp,Q8VHG0,Mus musculus ,Fmo4 ,560
7448,sp,Q9ER69,Mus musculus ,Wtap ,396
7449,sp,Q9QZM9,Mus musculus ,Fbxo16 ,334
7450,sp,Q78JE5,Mus musculus ,Fbxo22 ,402
7451,sp,Q8VCK6,Mus musculus ,Ffar2 ,330
7452,sp,Q08879,Mus musculus ,Fbln1 ,705
7453,sp,Q9CTH6,Mus musculus ,Fcf1 ,198
7454,sp,Q3UY23,Mus musculus ,Fdxacb1 ,622
7455,sp,Q8K0E8,Mus musculus ,Fgb ,481
7456,sp,Q69ZT1,Mus musculus ,Fan1 ,1020
7457,sp,Q9JHE4,Mus musculus ,Gal3st1 ,423
7458,sp,Q9CZV8,Mus musculus ,Fbxl20 ,436
7459,sp,P13346,Mus musculus ,Fosb ,338
7460,sp,Q9EQC7,Mus musculus ,Fstl3 ,256
7461,sp,Q9D0T7,Mus musculus ,Gkn3 ,191
7462,sp,Q8C0K5,Mus musculus ,Slc25a16 ,332
7463,sp,Q6YNI2,Mus musculus ,Gpr6 ,363
7464,sp,P08884,Mus musculus ,Gzme ,248
7465,sp,Q99LE2,Mus musculus ,Gpr146 ,333
7466,sp,Q99KB8,Mus musculus ,Hagh ,309
7467,sp,Q8VEJ1,Mus musculus ,Gpn2 ,310
7468,sp,Q8C206,Mus musculus ,Gpr157 ,330
7469,sp,P14142,Mus musculus ,Slc2a4 ,509
7470,sp,Q61450,Mus musculus ,Gp49a ,303
7471,sp,Q9D7B7,Mus musculus ,Gpx8 ,209
7472,sp,Q7TNC8,Mus musculus ,Glra2 ,452
7473,sp,Q9QUH0,Mus musculus ,Glrx ,107
7474,sp,Q91W97,Mus musculus ,Hkdc1 ,915
7475,sp,Q5SV42,Mus musculus ,Serpinb1c ,375
7476,sp,Q9QZ29,Mus musculus ,Igbp1b ,343
7477,sp,Q9D0E1,Mus musculus ,Hnrnpm ,729
7478,sp,Q8VHP7,Mus musculus ,Serpinb1b ,382
7479,sp,Q8K3X4,Mus musculus ,Irf2bpl ,775
7480,sp,P0DOV2,Mus musculus ,Ifi204 ,619
7481,sp,Q6EAL8,Mus musculus ,Il31 ,163
7482,sp,P07750,Mus musculus ,Il4 ,140
7483,sp,Q8K057,Mus musculus ,Ift80 ,777
7484,sp,P07628,Mus musculus ,Klk1b8 ,261
7485,sp,Q9DCL8,Mus musculus ,Ppp1r2 ,206
7486,sp,Q9DAL7,Mus musculus ,Iqcf5 ,148
7487,sp,Q6GU68,Mus musculus ,Islr ,428
7488,sp,P97825,Mus musculus ,Jpt1 ,154
7489,sp,Q9ESK4,Mus musculus ,Ing2 ,281
7490,sp,Q9QXG4,Mus musculus ,Acss2 ,701
7491,sp,Q99KS6,Mus musculus ,Adprm ,340
7492,sp,Q8CFW1,Mus musculus ,Ano2 ,1002
7493,sp,Q505D1,Mus musculus ,Ankrd28 ,1053
7494,sp,E9Q7E2,Mus musculus ,Arid2 ,1828
7495,sp,G3X982,Mus musculus ,Aox3 ,1335
7496,sp,Q9D842,Mus musculus ,Aplf ,499
7497,sp,P50295,Mus musculus ,Nat2 ,290
7498,sp,Q32KI9,Mus musculus ,Arsi ,573
7499,sp,O70423,Mus musculus ,Aoc3 ,765
7500,sp,Q6PIE5,Mus musculus ,Atp1a2 ,1020
7501,sp,Q9EPE9,Mus musculus ,Atp13a1 ,1200
7502,sp,Q922M7,Mus musculus ,,232
7503,sp,Q8BT14,Mus musculus ,Cnot4 ,575
7504,sp,P61161,Mus musculus ,Actr2 ,394
7505,sp,Q4VAB4,Mus musculus ,Cnpy1 ,94
7506,sp,Q9D2I5,Mus musculus ,Armc9 ,817
7507,sp,Q80US4,Mus musculus ,Actr5 ,605
7508,sp,O70228,Mus musculus ,Atp9a ,1047
7509,sp,Q61687,Mus musculus ,Atrx ,2476
7510,sp,A2AX52,Mus musculus ,Col6a4 ,2309
7511,sp,Q8BZB2,Mus musculus ,Ppcdc ,204
7512,sp,A6H584,Mus musculus ,Col6a5 ,2640
7513,sp,Q7TMW6,Mus musculus ,Ciao3 ,476
7514,sp,P47936,Mus musculus ,Cnr2 ,347
7515,sp,Q9D2R6,Mus musculus ,Coa3 ,108
7516,sp,P58459,Mus musculus ,Adamts10 ,1104
7517,sp,Q811B3,Mus musculus ,Adamts12 ,1600
7518,sp,Q99M07,Mus musculus ,Coa5 ,74
7519,sp,P59384,Mus musculus ,Adamts15 ,950
7520,sp,Q4VC17,Mus musculus ,Adamts18 ,1219
7521,sp,Q5M8N0,Mus musculus ,Cnrip1 ,164
7522,sp,Q921H9,Mus musculus ,Coa7 ,231
7523,sp,P25318,Mus musculus ,Col8a2 ,699
7524,sp,Q9D3D9,Mus musculus ,Atp5f1d ,168
7525,sp,Q8K182,Mus musculus ,C8a ,587
7526,sp,P56135,Mus musculus ,Atp5mf ,88
7527,sp,Q8BRT1,Mus musculus ,Clasp2 ,1286
7528,sp,Q8VCG4,Mus musculus ,C8g ,202
7529,sp,Q91VR2,Mus musculus ,Atp5f1c ,298
7530,sp,Q78IK2,Mus musculus ,Atp5mk ,58
7531,sp,Q3UZ57,Mus musculus ,Axdnd1 ,424
7532,sp,O35625,Mus musculus ,Axin1 ,863
7533,sp,P97450,Mus musculus ,Atp5pf ,108
7534,sp,Q9CWQ3,Mus musculus ,Atp23 ,201
7535,sp,E9Q6Z5,Mus musculus ,Aunip ,340
7536,sp,Q8R1H8,Mus musculus ,Batf2 ,277
7537,sp,Q6DIA7,Mus musculus ,Brme1 ,600
7538,sp,Q8BR07,Mus musculus ,Bicd1 ,835
7539,sp,Q99MQ1,Mus musculus ,Bicc1 ,977
7540,sp,Q99PV8,Mus musculus ,Bcl11b ,884
7541,sp,O08664,Mus musculus ,Bcl7c ,217
7542,sp,Q8C3M9,Mus musculus ,,231
7543,sp,Q7TQK5,Mus musculus ,Ccdc93 ,629
7544,sp,O08734,Mus musculus ,Bak1 ,209
7545,sp,Q80ZU5,Mus musculus ,Ccdc181 ,509
7546,sp,Q63810,Mus musculus ,Ppp3r1 ,170
7547,sp,P22682,Mus musculus ,Cbl ,913
7548,sp,Q63994,Mus musculus ,Cd33 ,403
7549,sp,Q8BMJ7,Mus musculus ,Cgrrf1 ,332
7550,sp,Q8BTU1,Mus musculus ,Cfap20 ,193
7551,sp,Q6AW69,Mus musculus ,Cgnl1 ,1298
7552,sp,Q9CQA0,Mus musculus ,Cenpm ,180
7553,sp,Q9D180,Mus musculus ,Cfap57 ,1249
7554,sp,Q9CQA6,Mus musculus ,Chchd1 ,118
7555,sp,Q61490,Mus musculus ,Alcam ,583
7556,sp,Q9DAY5,Mus musculus ,,185
7557,sp,Q9CXL3,Mus musculus ,,195
7558,sp,P11609,Mus musculus ,Cd1d1 ,336
7559,sp,A2AJK6,Mus musculus ,Chd7 ,2986
7560,sp,Q9Z0H4,Mus musculus ,Celf2 ,508
7561,sp,Q8CC12,Mus musculus ,Cdan1 ,1239
7562,sp,Q14B71,Mus musculus ,Cdca2 ,982
7563,sp,Q8BGZ4,Mus musculus ,Cdc23 ,597
7564,sp,Q8C0C4,Mus musculus ,Ccser1 ,895
7565,sp,Q62447,Mus musculus ,Ccnc ,283
7566,sp,Q8K2Z4,Mus musculus ,Ncapd2 ,1392
7567,sp,Q9QZE2,Mus musculus ,Clnk ,435
7568,sp,Q8N7N6,Mus musculus ,Traf3ip2 ,555
7569,sp,Q8BFS6,Mus musculus ,Cpped1 ,312
7570,sp,O89053,Mus musculus ,Coro1a ,461
7571,sp,Q9CPZ8,Mus musculus ,Cmc1 ,106
7572,sp,Q9JIF7,Mus musculus ,Copb1 ,953
7573,sp,Q8R420,Mus musculus ,Abca3 ,1704
7574,sp,Q9JJ59,Mus musculus ,Abcb9 ,762
7575,sp,Q6PE15,Mus musculus ,Abhd10 ,297
7576,sp,Q8VCR7,Mus musculus ,Abhd14b ,210
7577,sp,P68254,Mus musculus ,Ywhaq ,245
7578,sp,P61982,Mus musculus ,Ywhag ,247
7579,sp,Q8R5A3,Mus musculus ,Apbb1ip ,670
7580,sp,P28334,Mus musculus ,Htr1b ,386
7581,sp,Q8R0I0,Mus musculus ,Ace2 ,805
7582,sp,P05202,Mus musculus ,Got2 ,430
7583,sp,P12023,Mus musculus ,App ,770
7584,sp,Q8QZR5,Mus musculus ,Gpt ,496
7585,sp,Q9WVE0,Mus musculus ,Aicda ,198
7586,sp,Q8CCJ4,Mus musculus ,Amer2 ,672
7587,sp,Q9CY02,Mus musculus ,Ahsp ,102
7588,sp,Q80VQ0,Mus musculus ,Aldh3b1 ,468
7589,sp,P28474,Mus musculus ,Adh5 ,374
7590,sp,Q01341,Mus musculus ,Adcy6 ,1165
7591,sp,Q8BS35,Mus musculus ,Agmo ,447
7592,sp,Q3UHD9,Mus musculus ,Agap2 ,1186
7593,sp,Q9CQ31,Mus musculus ,Asb11 ,323
7594,sp,Q8BWU8,Mus musculus ,Etnppl ,499
7595,sp,Q9D738,Mus musculus ,Asb12 ,308
7596,sp,Q8BSY0,Mus musculus ,Asph ,741
7597,sp,Q925I1,Mus musculus ,Atad3 ,591
7598,sp,Q9WV27,Mus musculus ,Atp1a4 ,1032
7599,sp,Q68FE2,Mus musculus ,Atg9a ,551
7600,sp,Q6DFW0,Mus musculus ,,481
7601,sp,O35054,Mus musculus ,Cldn4 ,210
7602,sp,Q9DCB4,Mus musculus ,Arpp21 ,807
7603,sp,Q9D187,Mus musculus ,Ciao2b ,163
7604,sp,Q8R2S9,Mus musculus ,Actr8 ,624
7605,sp,Q3UZB0,Mus musculus ,Armcx5 ,606
7606,sp,Q8BHS6,Mus musculus ,Armcx3 ,379
7607,sp,P98195,Mus musculus ,Atp9b ,1146
7608,sp,Q02788,Mus musculus ,Col6a2 ,1034
7609,sp,Q99KN2,Mus musculus ,Ciao1 ,339
7610,sp,Q9JKK8,Mus musculus ,Atr ,2635
7611,sp,Q769J6,Mus musculus ,Adamts13 ,1426
7612,sp,P09174,Mus musculus ,Pde6g ,87
7613,sp,Q8BGD8,Mus musculus ,Coa6 ,79
7614,sp,Q00780,Mus musculus ,Col8a1 ,744
7615,sp,P59511,Mus musculus ,Adamts20 ,1906
7616,sp,Q811I0,Mus musculus ,Atpaf1 ,324
7617,sp,P28658,Mus musculus ,Atxn10 ,475
7618,sp,P54254,Mus musculus ,Atxn1 ,791
7619,sp,Q8R4I1,Mus musculus ,Atxn7 ,867
7620,sp,P06683,Mus musculus ,C9 ,548
7621,sp,P51642,Mus musculus ,Cntf ,198
7622,sp,O35484,Mus musculus ,Azin1 ,448
7623,sp,O08997,Mus musculus ,Atox1 ,68
7624,sp,P48754,Mus musculus ,Brca1 ,1812
7625,sp,G5E8P1,Mus musculus ,Brd1 ,1058
7626,sp,Q8R079,Mus musculus ,Bfar ,450
7627,sp,P97929,Mus musculus ,Brca2 ,3329
7628,sp,O35284,Mus musculus ,Batf ,125
7629,sp,A2AUY4,Mus musculus ,Baz2b ,2123
7630,sp,Q9WTL8,Mus musculus ,Arntl ,632
7631,sp,Q5SUD9,Mus musculus ,Bbs12 ,708
7632,sp,Q8C6A8,Mus musculus ,Bhlhe22 ,355
7633,sp,P16283,Mus musculus ,Slc4a3 ,1227
7634,sp,Q924M5,Mus musculus ,Boll ,281
7635,sp,A2A5R2,Mus musculus ,Arfgef2 ,1792
7636,sp,Q9Z2F7,Mus musculus ,Bnip3l ,218
7637,sp,O35914,Mus musculus ,Bnc1 ,961
7638,sp,Q9JJ04,Mus musculus ,B4galt4 ,344
7639,sp,P97303,Mus musculus ,Bach2 ,839
7640,sp,Q922M3,Mus musculus ,Kctd10 ,315
7641,sp,Q3UJV1,Mus musculus ,Ccdc61 ,511
7642,sp,Q8VDS3,Mus musculus ,Cbx7 ,158
7643,sp,D3Z5T1,Mus musculus ,Ccdc78 ,437
7644,sp,Q63918,Mus musculus ,Cavin2 ,418
7645,sp,P29594,Mus musculus ,Casp2 ,452
7646,sp,Q9JJ89,Mus musculus ,Ccdc86 ,426
7647,sp,Q9QY96,Mus musculus ,Casr ,1079
7648,sp,P70160,Mus musculus ,Calca ,136
7649,sp,Q9D6Y1,Mus musculus ,Ccdc3 ,273
7650,sp,Q80TJ1,Mus musculus ,Cadps ,1355
7651,sp,Q9D1I2,Mus musculus ,Card19 ,183
7652,sp,P59114,Mus musculus ,Pcif1 ,706
7653,sp,Q02105,Mus musculus ,C1qc ,246
7654,sp,Q5HZI2,Mus musculus ,C2cd4c ,419
7655,sp,Q64444,Mus musculus ,Ca4 ,305
7656,sp,Q8BVV7,Mus musculus ,Cep95 ,827
7657,sp,Q8K015,Mus musculus ,Cenpo ,298
7658,sp,Q6P8Y0,Mus musculus ,Cfap161 ,303
7659,sp,Q8QZR8,Mus musculus ,Ccnq ,250
7660,sp,Q52KE7,Mus musculus ,Ccnl1 ,532
7661,sp,Q3UPP8,Mus musculus ,Cep63 ,700
7662,sp,Q9JKC6,Mus musculus ,Cend1 ,149
7663,sp,A2AGT5,Mus musculus ,Ckap5 ,2032
7664,sp,P29974,Mus musculus ,Cnga1 ,684
7665,sp,Q9JJZ8,Mus musculus ,Cnga3 ,631
7666,sp,Q91YN0,Mus musculus ,D6Wsu163e ,552
7667,sp,Q9Z1F6,Mus musculus ,Cnmd ,334
7668,sp,Q9WVD4,Mus musculus ,Clcn5 ,816
7669,sp,P08122,Mus musculus ,Col4a2 ,1707
7670,sp,Q9JKY0,Mus musculus ,Cnot9 ,299
7671,sp,P51174,Mus musculus ,Acadl ,430
7672,sp,Q3THG9,Mus musculus ,Aarsd1 ,412
7673,sp,Q9QY84,Mus musculus ,Actl7a ,440
7674,sp,Q924I3,Mus musculus ,Ackr4 ,350
7675,sp,Q9QYY9,Mus musculus ,Adh4 ,377
7676,sp,P21300,Mus musculus ,Akr1b7 ,316
7677,sp,Q9QYB5,Mus musculus ,Add3 ,706
7678,sp,Q80W40,Mus musculus ,Acsm4 ,580
7679,sp,Q80T32,Mus musculus ,Adgrd1 ,903
7680,sp,F8VQ03,Mus musculus ,Adam3 ,822
7681,sp,Q6PDY2,Mus musculus ,Ado ,256
7682,sp,Q9R1V7,Mus musculus ,Adam23 ,829
7683,sp,Q9JI76,Mus musculus ,Adam21 ,729
7684,sp,P51827,Mus musculus ,Aff3 ,1254
7685,sp,Q9CPV2,Mus musculus ,Anapc16 ,110
7686,sp,Q9D2X0,Mus musculus ,Ankrd39 ,183
7687,sp,P84078,Mus musculus ,Arf1 ,181
7688,sp,P62331,Mus musculus ,Arf6 ,175
7689,sp,P17426,Mus musculus ,Ap2a1 ,977
7690,sp,P51910,Mus musculus ,Apod ,189
7691,sp,Q8BWA8,Mus musculus ,Arhgef19 ,802
7692,sp,Q8C033,Mus musculus ,Arhgef10 ,1345
7693,sp,P61110,Mus musculus ,Kap ,121
7694,sp,Q02013,Mus musculus ,Aqp1 ,269
7695,sp,P97384,Mus musculus ,Anxa11 ,503
7696,sp,P00687,Mus musculus ,Amy1 ,511
7697,sp,Q9Z1P8,Mus musculus ,Angptl4 ,410
7698,sp,Q641P0,Mus musculus ,Actr3b ,418
7699,sp,Q91X20,Mus musculus ,Ash2l ,623
7700,sp,P14231,Mus musculus ,Atp1b2 ,290
7701,sp,Q61324,Mus musculus ,Arnt2 ,712
7702,sp,Q8BG92,Mus musculus ,Clvs2 ,327
7703,sp,Q03288,Mus musculus ,Asip ,131
7704,sp,Q6EBV9,Mus musculus ,Atg9b ,922
7705,sp,Q3URY6,Mus musculus ,Armc2 ,854
7706,sp,Q9CPX6,Mus musculus ,Atg3 ,314
7707,sp,Q9CPW4,Mus musculus ,Arpc5 ,151
7708,sp,Q9QXT0,Mus musculus ,Cnpy2 ,182
7709,sp,Q9D0A3,Mus musculus ,Arpin ,226
7710,sp,Q9CVB6,Mus musculus ,Arpc2 ,300
7711,sp,Q8BQ47,Mus musculus ,Cnpy4 ,245
7712,sp,Q04857,Mus musculus ,Col6a1 ,1025
7713,sp,P59509,Mus musculus ,Adamts19 ,1210
7714,sp,Q8C9W3,Mus musculus ,Adamts2 ,1213
7715,sp,Q80TV8,Mus musculus ,Clasp1 ,1535
7716,sp,Q9R001,Mus musculus ,Adamts5 ,930
7717,sp,Q05306,Mus musculus ,Col10a1 ,680
7718,sp,Q8K445,Mus musculus ,Clrn1 ,232
7719,sp,Q8BHH8,Mus musculus ,Clrn3 ,226
7720,sp,Q91YY4,Mus musculus ,Atpaf2 ,289
7721,sp,Q05722,Mus musculus ,Col9a1 ,921
7722,sp,Q64446,Mus musculus ,Atp7b ,1462
7723,sp,Q9D995,Mus musculus ,Cntd1 ,334
7724,sp,O88507,Mus musculus ,Cntfr ,372
7725,sp,Q9D676,Mus musculus ,Clec2g ,269
7726,sp,P58544,Mus musculus ,Btbd1 ,488
7727,sp,Q91XV3,Mus musculus ,Basp1 ,226
7728,sp,Q7TSA3,Mus musculus ,Btla ,306
7729,sp,A2AWP0,Mus musculus ,Birc7 ,285
7730,sp,O35623,Mus musculus ,Bet1 ,118
7731,sp,Q8CBX9,Mus musculus ,Bivm ,502
7732,sp,F8VPZ9,Mus musculus ,Bicra ,1578
7733,sp,Q6PFX2,Mus musculus ,Bend6 ,281
7734,sp,O88870,Mus musculus ,Best1 ,551
7735,sp,Q9D219,Mus musculus ,Bcl9 ,1425
7736,sp,P41183,Mus musculus ,Bcl6 ,707
7737,sp,Q91Z96,Mus musculus ,Bmp2k ,1138
7738,sp,P98063,Mus musculus ,Bmp1 ,991
7739,sp,P21274,Mus musculus ,Bmp2 ,394
7740,sp,Q91YY2,Mus musculus ,B4galt3 ,395
7741,sp,Q8BU51,Mus musculus ,Bpifb6 ,449
7742,sp,Q9JLG8,Mus musculus ,Capn15 ,1095
7743,sp,P10148,Mus musculus ,Ccl2 ,148
7744,sp,Q8C3Q9,Mus musculus ,Casp9 ,454
7745,sp,Q9CQL2,Mus musculus ,Ccer1 ,403
7746,sp,Q8VHW3,Mus musculus ,Cacng6 ,260
7747,sp,Q9JLK4,Mus musculus ,Cabp2 ,216
7748,sp,Q99JA0,Mus musculus ,Calca ,128
7749,sp,Q8BMK5,Mus musculus ,Ccdc184 ,191
7750,sp,Q91ZW8,Mus musculus ,Cd209d ,237
7751,sp,Q9CZB0,Mus musculus ,Sdhc ,169
7752,sp,Q8CI33,Mus musculus ,Cwf19l1 ,537
7753,sp,O88338,Mus musculus ,Cdh16 ,830
7754,sp,P04235,Mus musculus ,Cd3d ,173
7755,sp,P55284,Mus musculus ,Cdh5 ,784
7756,sp,P24161,Mus musculus ,Cd247 ,164
7757,sp,P14106,Mus musculus ,C1qb ,253
7758,sp,Q7TSG1,Mus musculus ,Cep120 ,988
7759,sp,O88271,Mus musculus ,Cfdp1 ,295
7760,sp,P49919,Mus musculus ,Cdkn1c ,348
7761,sp,Q3U4G0,Mus musculus ,Cdin1 ,281
7762,sp,Q70KF4,Mus musculus ,Cmya5 ,3739
7763,sp,Q8CBX0,Mus musculus ,Tmem63c ,802
7764,sp,Q9EPU4,Mus musculus ,Cpsf1 ,1441
7765,sp,Q3UZA1,Mus musculus ,Rcsd1 ,412
7766,sp,Q9Z2L7,Mus musculus ,Crlf3 ,442
7767,sp,O55071,Mus musculus ,Cyp2b19 ,492
7768,sp,Q60571,Mus musculus ,Crhbp ,322
7769,sp,Q3TCJ1,Mus musculus ,Abraxas2 ,415
7770,sp,Q7TNP2,Mus musculus ,Ppp2r1b ,601
7771,sp,Q920H4,Mus musculus ,Chrm5 ,532
7772,sp,Q8BL65,Mus musculus ,Ablim2 ,612
7773,sp,Q99KI0,Mus musculus ,Aco2 ,780
7774,sp,Q8K370,Mus musculus ,Acad10 ,1069
7775,sp,Q9DBM0,Mus musculus ,Abcg8 ,673
7776,sp,P62259,Mus musculus ,Ywhae ,255
7777,sp,Q99PG0,Mus musculus ,Aadac ,398
7778,sp,Q9DCD0,Mus musculus ,Pgd ,483
7779,sp,Q9D099,Mus musculus ,Acer3 ,267
7780,sp,Q8K592,Mus musculus ,Amhr2 ,568
7781,sp,Q8CG27,Mus musculus ,Actl9 ,415
7782,sp,Q8CHC8,Mus musculus ,Adnp2 ,1165
7783,sp,P23578,Mus musculus ,Acr ,436
7784,sp,Q9ET38,Mus musculus ,Cldn19 ,224
7785,sp,Q9R0K7,Mus musculus ,Atp2b2 ,1198
7786,sp,Q9D906,Mus musculus ,Atg7 ,698
7787,sp,Q8C6B9,Mus musculus ,Rps19bp1 ,143
7788,sp,Q8BT18,Mus musculus ,Armh4 ,775
7789,sp,Q9D2L1,Mus musculus ,Arsk ,553
7790,sp,Q6A058,Mus musculus ,Armcx2 ,784
7791,sp,P56480,Mus musculus ,Atp5f1b ,529
7792,sp,Q64430,Mus musculus ,Atp7a ,1491
7793,sp,Q8VCP9,Mus musculus ,Clec14a ,459
7794,sp,Q9JL99,Mus musculus ,Clec1b ,229
7795,sp,Q03265,Mus musculus ,Atp5f1a ,553
7796,sp,Q9WVK0,Mus musculus ,Agtrap ,161
7797,sp,O35126,Mus musculus ,Atn1 ,1175
